id,title,description,content,url,image,publishedAt,lang,source.id,source.name,source.url,source.country
dc23b5956eb44cf477afa9e250c8f68b,Environment Minister Bhupendra Yadav among 7 tasked with moving the needle at COP30,"Climate talks in Belem shift to political discussions as ministers arrive to steer negotiations. Key areas like technology transfer, adaptation finance, and mitigation are being guided by ministerial pairs. Brazil's presidency aims for a package of outcomes, highlighting convergence on several agenda items despite differing options.","Synopsis
Climate talks in Belem shift to political discussions as ministers arrive to steer negotiations. Key areas like technology transfer, adaptation finance, and mitigation are being guided by ministerial pairs. Brazil's presidency aims for a pac... [3339 chars]",https://economictimes.indiatimes.com/news/india/environment-minister-bhupendra-yadav-among-7-tasked-with-moving-the-needle-at-cop30/articleshow/125394053.cms,"https://img.etimg.com/thumb/msid-125394128,width-1200,height-630,imgsize-29788,overlay-economictimes/articleshow.jpg",2025-11-17 19:12:00+00:00,en,5464668c1f0466950a0b2fab5249ec6c,The Economic Times,https://economictimes.indiatimes.com,in
bc1a407d9e3d3f052f987ba6d80ecad1,"Drones dispatching hair-loss drugs, Ozempic and steroids to prisons","Charlie Taylor, the chief inspector of prisons, has warned that the service is struggling to keep up with drone technology — and it could lead to escapes","Taylor has previously said that drones have become so advanced that they can carry packages of up to 10kg and could be used to smuggle guns, explosives and other weapons into jails. He also warned that they could soon be used to facilitate a prison e... [3409 chars]",https://www.thetimes.com/uk/crime/article/drones-hair-loss-drugs-ozempic-steroids-prisons-l6nnf8b9j,https://www.thetimes.com/imageserver/image/%2F6330457b-a56b-4635-8ec4-a463e1e07578.jpg?crop=1600%2C900%2C0%2C0&resize=1200,2025-11-17 19:05:16+00:00,en,b419a989918b3665a34559f5047546b6,The Sunday Times,https://www.thetimes.com,gb
ac95edeef1726623396e0dc47938bfb1,"Modern and secure technology must to counter cyber threat, says Natasha","VEHARI   -  During a session of the National Assembly, PPP MNA Natasha Daultana raised an important question regarding the establishment of a Cyber","VEHARI - During a session of the National Assembly, PPP MNA Natasha Daultana raised an important question regarding the establishment of a Cyber Security Authority by the Government of Pakistan. She inquired whether the software to be used by the aut... [699 chars]",https://www.nation.com.pk/18-Nov-2025/modern-secure-technology-must-counter-cyber-threat-says-natasha,https://www.nation.com.pk/print_images/large/2025-11-18/modern-secure-technology-must-counter-cyber-threat-says-natasha-1763434099-4171.jpg,2025-11-17 19:00:00+00:00,en,a3391c15eb1d3136f9b9dd080940d0e8,The Nation,https://www.nation.com.pk,pk
da20d72b3b0bf40af71bad88cd47794f,"IISc Bengaluru, IIT Gandhinagar team up for new academic pathway",Bengaluru: Indian Institute of Science (IISc) and Indian Institute of Technology Gandhinagar signed a memorandum of understanding to strengthen collab.,Bengaluru: Indian Institute of Science (IISc) and Indian Institute of Technology Gandhinagar signed a memorandum of understanding to strengthen collaboration in research and academic programmes. The agreement aims to combine the strengths of the two ... [1734 chars],https://timesofindia.indiatimes.com/city/bengaluru/iisc-bengaluru-iit-gandhinagar-team-up-for-new-academic-pathway/articleshow/125393579.cms,"https://static.toiimg.com/thumb/msid-125393578,width-1070,height-580,imgsize-26554,resizemode-75,overlay-toi_sw,pt-32,y_pad-40/photo.jpg",2025-11-17 18:51:00+00:00,en,9a9a0fb79c70bbf499d39baca94921ae,Times of India,https://timesofindia.indiatimes.com,in
6e6850436fa25c1fd04a400e4f7990fd,ConnectM Reports Third Quarter 2025 Results: 45% Revenue Growth and Continued Balance Sheet Deleveraging,"MARLBOROUGH, Mass., Nov. 17, 2025 (GLOBE NEWSWIRE) -- ConnectM Technology Solutions, Inc. (OTC: CNTM) ('ConnectM” or the 'Company”), a constellation of technology-driven businesses powering the modern energy economy, today reported financial results for the three and nine months ended September 30, 2025, following the Company’s filing of its Quarterly Report on Form 10-Q with the U.S. Securities and Exchange Commission on November 17, 2025.","MARLBOROUGH, Mass., Nov. 17, 2025 (GLOBE NEWSWIRE) -- ConnectM Technology Solutions, Inc. (OTC: CNTM) (""ConnectM” or the ""Company”), a constellation of technology-driven businesses powering the modern energy economy, today reported financial results ... [8990 chars]",https://www.manilatimes.net/2025/11/18/tmt-newswire/globenewswire/connectm-reports-third-quarter-2025-results-45-revenue-growth-and-continued-balance-sheet-deleveraging/2225799,https://cdn4.premiumread.com/?url=https://www.manilatimes.net/theme_manilatimes/images/TMT_1920x1008.jpg&w=1920&q=100&f=webp&v=1,2025-11-17 18:50:46+00:00,en,7c666ee953f873d3057b310220f510df,The Manila Times,https://www.manilatimes.net,ph
d31b595b41ac58cda31c31e527ddc4bc,War Dept. Looks to Biomanufacturing as New Key Focus,Biomanufacturing is one of six new Critical Technology Areas receiving increased attention from the War Department. Undersecretary of War for Research and Engineering Emil Michael said enhanced technology will drive the next era of American military strength.,"Biomanufacturing is one of six new Critical Technology Areas receiving increased attention from the War Department.
Undersecretary of War for Research and Engineering Emil Michael said enhanced technology will drive the next era of American military ... [2187 chars]",https://www.newsmax.com/us/biomanufcturing-wardeptartment-soldiers/2025/11/17/id/1234898/,https://www.newsmax.com/CMSPages/GetFile.aspx?guid=51346e64-306d-4eaa-a3c6-436d8aa06ceb&SiteName=Newsmax,2025-11-17 18:41:32+00:00,en,a8984f03fe66dae9745793f6560aa444,Newsmax,https://www.newsmax.com,us
f579286988ff6f34ce403ad8d7652261,"Stanley Druckenmiller rebuilds Big Tech bets, dips into stablecoins with Figure Technology",Druckenmiller's Duquesne Family Office initiated a $96 million position in Amazon and a $56 million holding in Meta during the third quarter.,"Billionaire investor Stanley Druckenmiller made a notable return to megacap technology last quarter, rebuilding sizable stakes in Amazon and Meta , while placing a fresh bet on newly public stablecoin issuer Figure Technology , according to a new reg... [1495 chars]",https://www.cnbc.com/2025/11/17/stanley-druckenmiller-rebuilds-big-tech-bets-dips-into-stablecoins-with-figure-technology.html,https://image.cnbcfm.com/api/v1/image/107125735-1715085832333-107125735-c_IMG_7466.jpg?v=1715085841&w=1920&h=1080,2025-11-17 18:35:02+00:00,en,29e94cdd2d4f6a3ca7108bb0293087c6,CNBC,https://www.cnbc.com,us
0bd180c2880e45fca39f282f0cb89c43,Telangana Cabinet clears Bill for welfare of Gig workers,"Telangana Cabinet clears Bill for welfare of Gig workers - Hyderabad, Nov 17 The Telangana Cabinet on Monday approved the Telangana Gig Platform Workers Registration, Social Security and ... Get Latest News on Technology only on lokmattimes.com","Hyderabad, Nov 17 The Telangana Cabinet on Monday approved the Telangana Gig Platform Workers Registration, Social Security and Welfare Bill.
The Cabinet meeting chaired by Chief Minister A. Revanth Reddy cleared the Bill.
Labour Minister Gaddam Vive... [2349 chars]",https://www.lokmattimes.com/technology/telangana-cabinet-clears-bill-for-welfare-of-gig-workers-2/,https://d3pc1xvrcw35tl.cloudfront.net/ln/feedImages/1200x900/202511173578726_202511.jpeg,2025-11-17 18:28:23+00:00,en,f2ddccedc9e60d844e7a1045928cad48,Lokmat Times,https://www.lokmattimes.com,in
e62bec3d126e95d06c46ef87094681ab,Nvidia Powers $500 Million AI Factory In Taiwan As Global Race For Smarter Tech Heats Up,"Companies are using AI factories to drive faster innovation and deployment, with Nvidia technology and $500M AI Factory in Taiwan.","Companies are shifting to artificial intelligence factories — large-scale, standardized systems powered by NVIDIA Corp (NASDAQ:NVDA) technology — to turn AI development into a continuous, industrialized process that drives faster innovation and real-... [2264 chars]",https://www.benzinga.com/markets/tech/25/11/48906142/nvidia-powers-500-million-ai-factory-in-taiwan-as-global-race-for-smarter-tech-heats-up,https://cdn.benzinga.com/files/images/story/2025/11/17/Nvidia_0.jpeg?width=1200&height=800&fit=crop,2025-11-17 18:21:04+00:00,en,d4e7f6a65e15620f4e4044691a99d0fd,Benzinga,https://www.benzinga.com,us
37e999be131830030c049e60fadd90fd,Nvidia CEO drops half-trillion forecast - Wall Street can’t wait for earnings report,"Nvidia is seeing huge demand for its AI chips, and investors are waiting for new earnings to understand the companys future growth. The CEO has shared big numbers that show strong interest in Nvidias next-generation technology. Analysts expect more updates on sales, AI spending, and major partnerships. Wall Street wants to know how fast Nvidia can grow in 2026.","Synopsis
Nvidia is seeing huge demand for its AI chips, and investors are waiting for new earnings to understand the company’s future growth. The CEO has shared big numbers that show strong interest in Nvidia’s next-generation technology. Analysts ex... [6781 chars]",https://economictimes.indiatimes.com/news/international/us/nvidia-ceo-drops-half-trillion-forecast-wall-street-cant-wait-for-earnings-report/articleshow/125392627.cms,"https://img.etimg.com/thumb/msid-125392627,width-1200,height-630,imgsize-121140,overlay-economictimes/articleshow.jpg",2025-11-17 18:21:00+00:00,en,5464668c1f0466950a0b2fab5249ec6c,The Economic Times,https://economictimes.indiatimes.com,in
